,game_id,game_date,away_team,home_team,pregame_odds,total_over_points,total_over_stake_percentage,total_over_wager_percentage,total_over_odds,total_over_decimal_odds,total_over_won,total_under_points,total_under_stake_percentage,total_under_wager_percentage,total_under_odds,total_under_decimal_odds,total_under_won,money_away_odds,money_away_decimal_odds,money_away_stake_percentage,money_away_wager_percentage,money_away_won,money_home_odds,money_home_decimal_odds,money_home_stake_percentage,money_home_wager_percentage,money_home_won,spread_away_points,spread_away_odds,spread_away_decimal_odds,spread_away_stake_percentage,spread_away_wager_percentage,spread_away_won,spread_home_points,spread_home_odds,spread_home_decimal_odds,spread_home_stake_percentage,spread_home_wager_percentage,spread_home_won
0,nfl.g.20250907030,2025-09-07-07:00,Carolina,Jacksonville,"-4.5, O/U 45.5",45.5,20.24,12.13,-110.0,1.910,False,45.5,79.76,87.87,-110.0,1.910,True,185.0,2.850,14.88,13.73,False,-225.0,1.440,85.12,86.27,True,4.5,-115.0,1.870,45.41,54.0,False,-4.5,-105.0,1.950,54.59,46.0,True
0,nfl.g.20250908003,2025-09-08-07:00,Minnesota,Chicago,"-1, O/U 43.5",43.5,14.88,6.0,-110.0,1.910,True,43.5,85.12,94.0,-110.0,1.910,False,-105.0,1.950,48.82,68.74,True,-115.0,1.870,51.18,31.26,False,1,-115.0,1.870,18.02,54.76,True,-1,-105.0,1.950,81.98,45.24,False
0,nfl.g.20250911009,2025-09-11-07:00,Washington,Green Bay,"-3, O/U 48.5",48.5,16.92,4.46,-110.0,1.910,False,48.5,83.08,95.54,-110.0,1.910,True,150.0,2.500,22.84,17.01,False,-180.0,1.560,77.16,82.99,True,3,105.0,2.050,47.9,54.85,False,-3,-110.0,1.910,52.1,45.15,True
0,nfl.g.20250914004,2025-09-14-07:00,Jacksonville,Cincinnati,"-3.5, O/U 49.5",49.5,12.18,10.5,-110.0,1.910,True,49.5,87.82,89.5,-110.0,1.910,False,155.0,2.550,10.8,8.31,False,-190.0,1.530,89.2,91.69,True,3.5,-115.0,1.870,61.08,47.57,False,-3.5,-105.0,1.950,38.92,52.43,True
0,nfl.g.20250914006,2025-09-14-07:00,NY Giants,Dallas,"-5.5, O/U 45",45,8.42,7.92,-110.0,1.910,True,45,91.58,92.08,-110.0,1.910,False,200.0,3.000,2.66,3.34,False,-250.0,1.400,97.34,96.66,True,5.5,-110.0,1.910,10.87,31.26,True,-5.5,-110.0,1.910,89.13,68.74,False
0,nfl.g.20250914008,2025-09-14-07:00,Chicago,Detroit,"-6.5, O/U 46",46,5.84,6.66,-110.0,1.910,True,46,94.16,93.34,-110.0,1.910,False,240.0,3.400,3.5,3.65,False,-300.0,1.330,96.5,96.35,True,15,-400.0,1.250,11.54,54.64,False,-15,280.0,3.800,88.46,45.36,True
0,nfl.g.20250914010,2025-09-14-07:00,LA Rams,Tennessee,"-5.5, O/U 41.5",41.5,8.03,9.62,-105.0,1.950,True,41.5,91.97,90.38,-115.0,1.870,False,-250.0,1.400,97.12,96.45,True,200.0,3.000,2.88,3.55,False,-5.5,-115.0,1.870,77.85,53.56,True,5.5,-105.0,1.950,22.15,46.44,False
0,nfl.g.20250914011,2025-09-14-07:00,Denver,Indianapolis,"-2.5, O/U 43.5",43.5,8.44,9.52,-105.0,1.950,True,43.5,91.56,90.48,-115.0,1.870,False,-125.0,1.800,68.95,75.23,False,105.0,2.050,31.05,24.77,True,-2.5,-110.0,1.910,44.88,50.67,False,2.5,-120.0,1.830,55.12,49.33,True
0,nfl.g.20250914012,2025-09-14-07:00,Philadelphia,Kansas City,"-1.5, O/U 46.5",46.5,15.2,10.2,-115.0,1.870,False,46.5,84.8,89.8,-105.0,1.950,True,-125.0,1.800,29.74,69.02,True,105.0,2.050,70.26,30.98,False,-1.5,-110.0,1.910,17.9,41.56,True,1.5,-110.0,1.910,82.1,58.44,False
0,nfl.g.20250914015,2025-09-14-07:00,New England,Miami,"-2.5, O/U 42.5",42.5,8.0,7.93,-115.0,1.870,True,42.5,92.0,92.07,-105.0,1.950,False,110.0,2.100,52.36,27.89,True,-130.0,1.770,47.64,72.11,False,2.5,-115.0,1.870,68.12,48.5,True,-2.5,-105.0,1.950,31.88,51.5,False
0,nfl.g.20250914016,2025-09-14-07:00,Atlanta,Minnesota,"-3.5, O/U 44.5",44.5,7.06,7.32,-110.0,1.910,False,44.5,92.94,92.68,-110.0,1.910,True,145.0,2.450,48.31,13.05,True,-175.0,1.570,51.69,86.95,False,3.5,-115.0,1.870,78.27,28.0,True,-3.5,-105.0,1.950,21.73,72.0,False
